participantNo,task,condition,forCond,mode,block,trialNo,missCount,dockingTime,wrongModeCount,posMissCount,prevMode
10,baseline,"trackpad,trackpad","trackpad,touch",trackpad,2,5,0,1559,0,0,trackpad
10,baseline,"trackpad,trackpad","trackpad,touch",trackpad,2,6,1,1314,0,1,trackpad
10,baseline,"trackpad,trackpad","trackpad,touch",trackpad,2,7,0,1356,0,1,trackpad
10,baseline,"trackpad,trackpad","trackpad,pen",trackpad,1,1,0,1058,0,0,trackpad
10,baseline,"trackpad,trackpad","trackpad,pen",trackpad,1,2,0,1234,0,0,trackpad
10,baseline,"trackpad,trackpad","trackpad,pen",trackpad,1,3,0,1514,0,0,trackpad
10,baseline,"trackpad,trackpad","trackpad,pen",trackpad,1,4,0,1391,0,0,trackpad
10,baseline,"trackpad,trackpad","trackpad,pen",trackpad,1,5,1,1884,0,1,trackpad
10,baseline,"trackpad,trackpad","trackpad,pen",trackpad,1,6,0,1060,0,0,trackpad
10,baseline,"trackpad,trackpad","trackpad,pen",trackpad,1,7,0,1343,0,0,trackpad
10,baseline,"trackpad,trackpad","trackpad,pen",trackpad,2,1,2,642,0,2,trackpad
10,baseline,"trackpad,trackpad","trackpad,pen",trackpad,2,2,0,1542,0,0,trackpad
10,baseline,"trackpad,trackpad","trackpad,pen",trackpad,2,3,0,850,0,0,trackpad
10,baseline,"trackpad,trackpad","trackpad,pen",trackpad,2,4,1,1195,0,1,trackpad
10,baseline,"trackpad,trackpad","trackpad,pen",trackpad,2,5,0,1313,0,0,trackpad
10,baseline,"trackpad,trackpad","trackpad,pen",trackpad,2,6,0,867,0,0,trackpad
10,baseline,"trackpad,trackpad","trackpad,pen",trackpad,2,7,0,1571,0,0,trackpad
10,task,"mouse,pen",,mouse,1,1,0,759,0,0,pen
10,task,"mouse,pen",,pen,1,2,0,698,0,0,mouse
10,task,"mouse,pen",,mouse,1,3,0,939,0,0,pen
10,task,"mouse,pen",,pen,1,4,0,897,0,0,mouse
10,task,"mouse,pen",,mouse,1,5,0,1271,0,0,pen
10,task,"mouse,pen",,pen,1,6,0,804,0,0,mouse
10,task,"mouse,pen",,mouse,1,7,0,792,0,0,pen
10,task,"mouse,pen",,pen,1,8,0,989,0,0,mouse
10,task,"mouse,pen",,mouse,1,9,0,760,0,0,pen
10,task,"mouse,pen",,pen,1,10,1,705,1,0,mouse
10,task,"mouse,pen",,mouse,1,11,0,788,0,0,pen
10,task,"mouse,pen",,pen,1,12,0,689,0,0,mouse
10,task,"mouse,pen",,mouse,1,13,0,1338,0,0,pen
10,task,"mouse,pen",,pen,1,14,0,887,0,0,mouse
10,task,"mouse,pen",,mouse,2,1,0,804,0,0,pen
10,task,"mouse,pen",,pen,2,2,0,697,0,0,mouse
10,task,"mouse,pen",,mouse,2,3,0,909,0,0,pen
10,task,"mouse,pen",,pen,2,4,0,700,0,0,mouse
10,task,"mouse,pen",,mouse,2,5,0,1198,0,0,pen
10,task,"mouse,pen",,pen,2,6,0,780,0,0,mouse
10,task,"mouse,pen",,mouse,2,7,0,973,0,0,pen
10,task,"mouse,pen",,pen,2,8,0,908,0,0,mouse
10,task,"mouse,pen",,mouse,2,9,0,1059,0,0,pen
10,task,"mouse,pen",,pen,2,10,1,683,1,0,mouse
10,task,"mouse,pen",,mouse,2,11,0,774,0,0,pen
10,task,"mouse,pen",,pen,2,12,0,736,0,0,mouse
10,task,"mouse,pen",,mouse,2,13,0,922,0,0,pen
10,task,"mouse,pen",,pen,2,14,0,757,0,0,mouse
10,task,"mouse,pen",,mouse,3,1,0,894,0,0,pen
10,task,"mouse,pen",,pen,3,2,0,749,0,0,mouse
10,task,"mouse,pen",,mouse,3,3,0,424,0,0,pen
10,task,"mouse,pen",,pen,3,4,0,857,0,0,mouse
